EAGLE Version 9.5.2 Copyright (c) 1988-2019 Autodesk, Inc.,,,,,,,
List of signals with length and its max. frequency / current,,,,,,,,
exported from /home/mc/Documents/Capstone Eagle/oresat-c3-v1.brd,,,,,,,,
at 1/23/20 12:18 PM,,,,,,,,
Signal,f max. [MHz],l [mm],l[mil],A [mm2],R [mOhm],w min [mm],w max [mm],Imax [A]
RADIO1_CS,10473.25,28.625,1126.96850393701,0.007,71.15,0.2,0.2,0.64
RADIO1_IRQ,11981.85,25.021,985.07874015748,0.007,62.2,0.2,0.2,0.64
RADIO2_CS,22297.97,13.445,529.330708661417,0.007,33.42,0.2,0.2,0.64
RADIO2_IRQ,13517.42,22.179,873.188976377953,0.007,55.13,0.2,0.2,0.64
RF1,158205.8,1.895,74.6062992125984,0.013,2.48,0.38,0.38,1.17
RF2,158205.8,1.895,74.6062992125984,0.013,2.48,0.38,0.38,1.17
RX1,203254.24,1.475,58.0708661417323,0.014,1.88,0.39,0.39,1.2
RX2,203254.24,1.475,58.0708661417323,0.014,1.88,0.39,0.39,1.2
SCLK1,42245.13,7.097,279.409448818898,0.007,17.64,0.2,0.2,0.64
SCLK2,42245.13,7.097,279.409448818898,0.007,17.64,0.2,0.2,0.64
SDIO_CK,7781.6,38.527,1516.81102362205,0.004,150.81,0.127,0.3,0.42
SDIO_CMD,7891.72,37.989,1495.62992125984,0.004,148.71,0.127,0.3,0.42
SDIO_D0,9099.69,32.946,1297.08661417323,0.004,128.97,0.127,0.2,0.42
SDIO_D1,8698.75,34.465,1356.88976377953,0.004,134.91,0.127,0.2,0.42
SDIO_D2,9004.6,33.294,1310.7874015748,0.004,130.33,0.127,0.2,0.42
SDIO_D3,8358.12,35.869,1412.16535433071,0.004,140.41,0.127,0.2,0.42
SDIO_D4,25754.15,11.641,458.307086614173,0.004,45.57,0.127,0.2,0.42
SDIO_D5,18133.66,16.533,650.905511811024,0.004,64.72,0.127,0.254,0.42
SDIO_D6,29448.22,10.181,400.826771653543,0.004,39.85,0.127,0.3,0.42
SDIO_D7,23805.3,12.594,495.826771653543,0.004,49.3,0.127,0.127,0.42
SDIO_RST,21567.82,13.9,547.244094488189,0.004,54.41,0.127,0.3,0.42
SPARE1,23529.86,12.741,501.614173228346,0.011,21.11,0.3,0.305,0.93
